"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"07.05.2020","7,7211","7,7743","7,8445","7,6184","-0,62%"
"06.05.2020","7,7689","7,6688","7,7909","7,6556","1,34%"
"05.05.2020","7,6664","7,6838","7,7141","7,6421","-0,21%"
"04.05.2020","7,6825","7,6996","7,7158","7,6474","-0,23%"
"01.05.2020","7,6999","7,6543","7,7559","7,6361","0,59%"
"30.04.2020","7,6550","7,5600","7,6723","7,5387","1,25%"
"29.04.2020","7,5603","7,5597","7,6050","7,5360","0,01%"
"28.04.2020","7,5597","7,5656","7,6238","7,5542","-0,08%"
"27.04.2020","7,5660","7,5430","7,5920","7,5156","0,25%"
"24.04.2020","7,5474","7,4866","7,5616","7,4683","0,81%"
"23.04.2020","7,4866","7,5534","7,5662","7,4706","-0,88%"
"22.04.2020","7,5531","7,5795","7,6181","7,5440","-0,36%"
"21.04.2020","7,5802","7,5384","7,6073","7,5180","0,54%"
"20.04.2020","7,5392","7,5380","7,5715","7,4637","0,02%"
"17.04.2020","7,5377","7,5205","7,5618","7,4008","0,23%"
"16.04.2020","7,5205","7,5411","7,5610","7,4977","-0,26%"
"15.04.2020","7,5401","7,4841","7,5777","7,4725","0,75%"
"14.04.2020","7,4841","7,3917","7,4960","7,3826","1,26%"
"13.04.2020","7,3911","7,3278","7,4475","7,3266","0,87%"
"10.04.2020","7,3272","7,2954","7,3639","7,2750","0,45%"
"09.04.2020","7,2947","7,3549","7,3734","7,2347","-0,82%"
"08.04.2020","7,3547","7,3552","7,3898","7,3259","-0,01%"
"07.04.2020","7,3552","7,3193","7,3946","7,2733","0,49%"
"06.04.2020","7,3193","7,2715","7,3386","7,2548","0,60%"
"03.04.2020","7,2755","7,1829","7,3008","7,1746","1,29%"
"02.04.2020","7,1829","7,3484","7,3664","7,1452","-2,25%"
"01.04.2020","7,3485","7,2962","7,3630","7,2547","0,72%"
"31.03.2020","7,2962","7,2663","7,3099","7,1746","0,40%"
"30.03.2020","7,2673","7,1886","7,2839","7,1611","1,04%"
"27.03.2020","7,1922","7,0572","7,1996","7,0485","1,91%"
"26.03.2020","7,0572","6,9830","7,1062","6,9736","1,06%"
"25.03.2020","6,9830","6,9268","7,0167","6,9011","0,81%"
"24.03.2020","6,9268","7,0348","7,0944","6,8888","-1,55%"
"23.03.2020","7,0361","7,0083","7,1390","6,9731","0,40%"
"20.03.2020","7,0079","6,9967","7,0371","6,9482","0,16%"
"19.03.2020","6,9967","7,0792","7,1307","6,9669","-1,26%"
"18.03.2020","7,0858","7,0517","7,1312","7,0009","0,72%"
"17.03.2020","7,0352","7,1914","7,2031","7,0014","-2,19%"
"16.03.2020","7,1924","7,0226","7,2074","6,9875","2,27%"
"13.03.2020","7,0328","7,0633","7,0873","6,9642","-0,45%"
"12.03.2020","7,0643","6,9960","7,0929","6,9659","0,96%"
"11.03.2020","6,9970","6,9417","7,0379","6,9368","0,74%"
"10.03.2020","6,9456","7,0386","7,0691","6,9181","-1,26%"
"09.03.2020","7,0345","6,8796","7,0916","6,8744","2,31%"
"06.03.2020","6,8754","6,8666","6,9305","6,8231","0,16%"
"05.03.2020","6,8643","6,7703","6,8842","6,7447","1,43%"
"04.03.2020","6,7677","6,8214","6,8565","6,7525","-0,81%"
"03.03.2020","6,8233","6,8761","6,9276","6,7477","-0,74%"
"02.03.2020","6,8745","6,8678","6,9593","6,8422","-0,13%"
"28.02.2020","6,8835","6,8308","6,9170","6,8099","0,80%"
"27.02.2020","6,8286","6,6955","6,8350","6,6905","1,90%"
"26.02.2020","6,7016","6,6854","6,7254","6,6728","0,24%"
"25.02.2020","6,6853","6,6415","6,7028","6,5858","0,69%"
"24.02.2020","6,6394","6,6092","6,6766","6,5947","0,42%"
"21.02.2020","6,6117","6,5793","6,6425","6,5709","0,50%"
"20.02.2020","6,5786","6,5739","6,6070","6,5590","0,09%"
"19.02.2020","6,5725","6,5438","6,5814","6,5290","0,43%"
"18.02.2020","6,5445","6,5503","6,5814","6,5411","-0,08%"
"17.02.2020","6,5499","6,5589","6,5708","6,5383","-0,06%"
"14.02.2020","6,5539","6,5454","6,5828","6,5341","0,08%"
"13.02.2020","6,5488","6,5757","6,5980","6,5431","-0,31%"
"12.02.2020","6,5694","6,5695","6,6087","6,5399","0,03%"
"11.02.2020","6,5674","6,5573","6,6055","6,5444","0,14%"
"10.02.2020","6,5584","6,5879","6,5958","6,5398","-0,38%"
"07.02.2020","6,5837","6,5753","6,6354","6,5449","0,14%"
"06.02.2020","6,5744","6,5782","6,5935","6,5614","-0,09%"
"05.02.2020","6,5804","6,6059","6,6188","6,5739","-0,36%"
"04.02.2020","6,6044","6,6188","6,6245","6,5831","-0,22%"
"03.02.2020","6,6188","6,6374","6,6388","6,6039","-0,27%"
"31.01.2020","6,6367","6,5826","6,6402","6,5747","0,73%"
"30.01.2020","6,5889","6,5644","6,6127","6,5607","0,46%"
"29.01.2020","6,5589","6,5493","6,5758","6,5307","0,18%"
"28.01.2020","6,5474","6,5483","6,5618","6,5275","-0,04%"
"27.01.2020","6,5497","6,5449","6,5651","6,5390","0,03%"
"24.01.2020","6,5479","6,5572","6,5697","6,5370","-0,18%"
"23.01.2020","6,5599","6,5693","6,5854","6,5424","-0,14%"
"22.01.2020","6,5694","6,5828","6,5934","6,5560","-0,18%"
"21.01.2020","6,5813","6,5609","6,5983","6,5560","0,31%"
"20.01.2020","6,5607","6,5357","6,5712","6,5226","0,43%"
"17.01.2020","6,5329","6,5215","6,5566","6,5057","0,11%"
"16.01.2020","6,5259","6,5565","6,5787","6,5116","-0,40%"
"15.01.2020","6,5521","6,5439","6,5663","6,5355","0,09%"
"14.01.2020","6,5461","6,5332","6,5778","6,5240","0,20%"
"13.01.2020","6,5330","6,5447","6,5488","6,5045","-0,06%"
"10.01.2020","6,5372","6,5197","6,5469","6,5009","0,22%"
"09.01.2020","6,5231","6,5664","6,5935","6,5048","-0,59%"
"08.01.2020","6,5618","6,6635","6,6868","6,5549","-1,50%"
"07.01.2020","6,6620","6,6796","6,6874","6,6452","-0,33%"
"06.01.2020","6,6841","6,6734","6,7015","6,6565","0,27%"
"03.01.2020","6,6662","6,6524","6,6816","6,6380","0,16%"
"02.01.2020","6,6553","6,6684","6,6830","6,6462","-0,18%"
"01.01.2020","6,6673","6,6668","6,6757","6,6601","-0,04%"
"31.12.2019","6,6699","6,6579","6,6896","6,6528","0,13%"
"30.12.2019","6,6612","6,6523","6,6745","6,6447","0,17%"
"27.12.2019","6,6502","6,5766","6,6662","6,5766","0,99%"
"26.12.2019","6,5850","6,5874","6,5969","6,5760","0,04%"
"25.12.2019","6,5825","6,5944","6,5977","6,5677","-0,17%"
"24.12.2019","6,5938","6,5939","6,6056","6,5696","-0,03%"
"23.12.2019","6,5959","6,5789","6,6021","6,5540","0,23%"
"20.12.2019","6,5808","6,6048","6,6115","6,5477","-0,42%"
"19.12.2019","6,6084","6,5851","6,6218","6,5635","0,34%"
"18.12.2019","6,5857","6,5629","6,5996","6,5518","0,35%"
"17.12.2019","6,5629","6,5176","6,5731","6,5139","0,67%"
"16.12.2019","6,5191","6,4643","6,5342","6,4586","0,93%"
"13.12.2019","6,4593","6,4442","6,4983","6,4349","0,21%"
"12.12.2019","6,4459","6,4653","6,4765","6,4060","-0,28%"
"11.12.2019","6,4637","6,4375","6,4642","6,4165","0,36%"
"10.12.2019","6,4403","6,4280","6,4470","6,4130","0,17%"
"09.12.2019","6,4295","6,3886","6,4441","6,3831","0,64%"
"06.12.2019","6,3883","6,3804","6,4077","6,3636","0,08%"
"05.12.2019","6,3835","6,3708","6,4021","6,3559","0,20%"
"04.12.2019","6,3708","6,3648","6,3913","6,3480","0,09%"
"03.12.2019","6,3651","6,3577","6,3903","6,3388","0,06%"
"02.12.2019","6,3612","6,3297","6,3704","6,3101","0,47%"